,date,place_cd,race_no,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
67,2021-7-19,8,8,6.78,6.74,6.77,6.78,6.82,6.75,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.16,0.13,0.08,0.14,0.12,0.1,1,2,3,4,6,5,晴,30.0,9,2.0,29.0,1.0
68,2021-7-19,8,9,6.75,6.72,6.7,6.72,6.79,6.73,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.18,0.12,0.4,0.2,0.21,0.29,1,2,3,4,5,6,晴,30.0,9,3.0,29.0,2.0
69,2021-7-19,8,10,6.76,6.73,6.74,6.8,6.81,6.78,-0.5,-0.5,0.0,-0.5,-0.5,0.0,0.11,0.08,0.42,0.1,0.07,0.09,1,2,3,4,5,6,晴,30.0,9,3.0,29.0,2.0
70,2021-7-19,8,11,6.7,6.75,6.8,6.84,6.8,6.83,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,0.16,0.12,0.14,0.04,0.11,1,2,3,4,5,6,晴,30.0,9,2.0,29.0,1.0
71,2021-7-19,8,12,6.83,6.7,6.72,6.76,6.83,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.02,0.05,-0.01,-0.01,0.12,1,2,3,4,5,6,晴,30.0,7,3.0,29.0,2.0
72,2021-7-19,12,1,6.7,6.72,6.72,6.85,6.84,6.71,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.19,0.25,0.22,0.14,0.2,0.1,1,2,3,4,5,6,晴,28.0,17,0.0,30.0,1.0
73,2021-7-19,14,1,6.7,6.8,6.78,6.83,6.84,6.8,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.21,0.25,0.29,0.07,0.05,0.28,1,2,3,4,5,6,晴,28.0,13,4.0,25.0,4.0
74,2021-7-19,14,2,6.75,6.78,6.74,6.83,6.75,6.8,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.08,0.03,0.03,-0.01,0.02,0.01,1,2,3,4,5,6,晴,27.0,11,2.0,25.0,2.0
75,2021-7-19,14,3,6.7,6.79,6.74,6.79,6.79,6.69,-0.5,0.0,-0.5,-0.5,-0.5,0.0,0.06,0.05,0.29,-0.01,0.11,-0.01,1,2,3,4,5,6,晴,27.0,11,2.0,25.0,2.0
76,2021-7-19,14,4,6.68,6.77,6.75,6.82,6.74,6.71,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.02,0.01,-0.05,0.09,0.05,-0.04,1,2,3,5,4,6,晴,27.0,11,2.0,25.0,2.0
77,2021-7-19,14,5,6.72,6.74,6.78,6.79,6.74,6.68,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.16,0.2,0.15,0.04,0.2,0.13,1,2,3,4,5,6,晴,28.0,13,2.0,25.0,2.0
78,2021-7-19,14,6,6.77,6.73,6.76,6.72,6.74,6.8,-0.5,0.0,-0.5,-0.5,-0.5,0.0,0.2,0.1,0.18,0.11,0.22,0.17,1,2,3,4,6,5,晴,28.0,11,3.0,25.0,3.0
79,2021-7-19,14,7,6.8,6.82,6.77,6.78,6.76,6.78,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.03,0.11,0.21,0.07,0.08,0.14,1,2,3,4,5,6,晴,28.0,13,3.0,25.0,3.0
80,2021-7-19,14,8,6.72,6.76,6.82,6.78,6.81,6.79,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.21,0.01,0.18,0.14,0.12,0.09,1,2,3,4,5,6,晴,28.0,11,4.0,25.0,4.0
81,2021-7-19,14,9,6.8,6.71,6.76,6.79,6.8,6.81,-0.5,-0.5,0.0,0.0,-0.5,-0.5,0.16,0.07,0.01,0.1,0.29,0.16,1,2,3,4,5,6,晴,28.0,13,4.0,25.0,4.0
82,2021-7-19,14,10,6.78,6.89,6.79,6.8,6.79,6.82,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.06,0.09,0.17,0.21,0.19,0.16,1,2,3,4,5,6,晴,29.0,13,2.0,25.0,2.0
83,2021-7-19,14,11,6.79,6.79,6.89,6.88,6.85,6.83,0.0,0.0,-0.5,-0.5,0.0,-0.5,-0.01,0.05,0.11,0.07,-0.01,0.01,1,2,3,4,5,6,晴,29.0,13,3.0,25.0,3.0
84,2021-7-19,14,12,6.65,6.78,6.8,6.75,6.7,6.75,0.0,0.0,-0.5,0.0,-0.5,-0.5,0.06,0.2,0.26,0.08,0.15,0.21,1,2,3,4,5,6,晴,28.0,13,5.0,25.0,5.0
85,2021-7-19,15,1,6.77,6.76,6.84,6.77,6.81,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.15,0.18,0.04,0.05,-0.04,-0.08,1,2,3,4,5,6,晴,27.0,1,1.0,24.0,1.0
86,2021-7-19,15,2,6.74,6.77,6.73,6.75,6.74,6.68,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.03,0.25,-0.06,0.28,0.01,0.16,1,2,6,3,4,5,晴,29.0,15,3.0,24.0,3.0
87,2021-7-19,15,3,6.83,6.83,6.81,6.74,6.74,6.7,-0.5,-0.5,-0.5,0.0,0.0,-0.5,0.08,0.16,0.06,-0.07,-0.1,0.01,1,2,3,6,5,4,晴,29.0,15,5.0,24.0,5.0
88,2021-7-19,15,4,6.79,6.69,6.81,6.74,6.83,6.84,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.06,0.18,0.19,0.23,0.15,-0.01,1,2,3,4,6,5,晴,29.0,15,4.0,24.0,4.0
89,2021-7-19,15,5,6.84,6.75,6.76,6.74,6.74,6.79,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.03,0.11,0.31,0.26,0.15,0.21,1,2,3,4,5,6,晴,30.0,15,4.0,24.0,4.0
90,2021-7-19,15,6,6.62,6.75,6.76,6.79,6.79,6.78,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.29,-0.01,0.04,-0.09,-0.07,-0.13,1,2,3,4,5,6,晴,30.0,15,4.0,24.0,4.0
